datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2022-07-15 14:35:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16016.75,16019,16012,16019,10150,12273250,4070
2022-07-15 14:36:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16020,16027.75,16016.9,16027,22000,12275550,4071
2022-07-15 14:37:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16027,16039.05,16027,16038,271400,12275550,4072
2022-07-15 14:38:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16038.55,16042.5,16035.5,16040.25,81650,12275550,4073
2022-07-15 14:39:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16041,16045,16040,16044.4,43250,12351850,4074
2022-07-15 14:40:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16046,16048,16041,16041,39350,12351850,4075
2022-07-15 14:41:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16040.55,16042.3,16034.55,16039.85,40950,12351850,4076
2022-07-15 14:42:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16040.25,16045.3,16040,16040,19750,12365600,4077
2022-07-15 14:43:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16040,16042.95,16035.65,16035.65,20300,12365600,4078
2022-07-15 14:44:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16035.25,16036.55,16030.5,16036,18400,12365600,4079
